item_desc,category_desc,sub_category_desc,item_number,skin_concern_cat_id,skin_concern_cat_name
เซรั่มครีมการ์นิเย่แอนตี้แอคเน่ฯ (ด) 7.5 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,ลดความมันและป้องกันสิว,1217,3,Acne & Oily
เซรั่มครีมการ์นิเย่แอนตี้แอคเน่ฯ (พ6) 7.5 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,ลดความมันและป้องกันสิว,1218,3,Acne & Oily
เซรั่มโรจูคิสวิตซี 17% แอนตี้ออกซิแดนท์ (ด) 8 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อผิวขาว,1219,1,Whitening
เซรั่มโรจูคิสวิตซี 17% แอนตี้ออกซิแดนท์ (พ6) 8 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อผิวขาว,1220,1,Whitening
pเซรั่มกันแดดโรจูคิสเฟสอายเนคยูวีซันSPF50 (ด) 7 ก.,ผลิตภัณฑ์บำรุงผิวหน้า,ป้องกันแสงแดด,1221,0,Not Used
pเซรั่มกันแดดโรจูคิสเฟสอายเนคยูวีซันSPF50 (พ6) 7 ก,ผลิตภัณฑ์บำรุงผิวหน้า,ป้องกันแสงแดด,1222,0,Not Used
ซอฟท์ครีมกันแดดเค.เอ.ยูวีไวท์เทนนิ่งSPF50 (ด) 7 ก.,ผลิตภัณฑ์บำรุงผิวหน้า,ป้องกันแสงแดด,1223,0,Not Used
ซอฟท์ครีมกันแดดเค.เอ.ยูวีไวท์เทนนิ่งSPF50 (พ6) 7 ก,ผลิตภัณฑ์บำรุงผิวหน้า,ป้องกันแสงแดด,1224,0,Not Used
แอมพลูเซรั่มพอนด์สเอจมิราเคิลไฮยาวิตซี 1.2 กรัม,ผลิตภัณฑ์บำรุงผิวหน้า,ลดริ้วรอย,1225,2,Anti-Aging
สเปรย์กันแดดเค.เอ.ยูวีเอ็กซ์ตรีมโพรเทคSPF50 100 มล,ผลิตภัณฑ์บำรุงผิวหน้า,ป้องกันแสงแดด,1226,0,Not Used
เซรั่มลอรีอัลรีไวทัลลิฟท์ไฮยาลูรอนิคฯ (พ6) 6 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,ลดริ้วรอย,1227,2,Anti-Aging
ครีมโอเลย์ลูมินัสโรสคอมเพล็กซ์ (ซอง) 7 กรัม,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อผิวขาว,1228,1,Whitening
เซรั่มโรจูคิสเฟซอายเนค (ด) 8 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,ลดริ้วรอย,1229,2,Anti-Aging
เซรั่มโรจูคิสเฟซอายเนค (พ6) 8 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,ลดริ้วรอย,1230,2,Anti-Aging
pมาส์กโรจูคิสวิตซีแอนตี้ออกซิแดนท์ 10X (ด) 18 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,มาส์กหน้า,1231,0,Not Used
pมาส์กโรจูคิสวิตซีแอนตี้ออกซิแดนท์ 10X (พ6) 18 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,มาส์กหน้า,1232,0,Not Used
แอมพลูโรจูคิสไฮยาลูรอนฟิลเลอร์ (ด) 8 กรัม,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อความชุ่มชื่น,1233,0,Not Used
แอมพลูโรจูคิสไฮยาลูรอนฟิลเลอร์ (พ6) 8 กรัม,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อความชุ่มชื่น,1234,0,Not Used
บูสเตอร์เซรั่มการ์นิเย่ไบรท์คอมพลีท ไนท์(ด)7.5 มล,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อผิวขาว,1235,1,Whitening
บูสเตอร์เซรั่มการ์นิเย่ไบรท์คอมพลีท ไนท์(พ6)7.5 มล,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อผิวขาว,1236,1,Whitening
มอร์นิ่งมาสก์บาโนบากิไวท์สโนว์ฯ (ด) 15 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อผิวขาว,1237,1,Whitening
มอร์นิ่งมาสก์บาโนบากิแอคเน่ฯ (ด) 15 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,ลดความมันและป้องกันสิว,1238,3,Acne & Oily
ครีมกันแดดศรีจันทร์แอคเน่แคร์SPF50+PA+++(ด) 7มล.,ผลิตภัณฑ์บำรุงผิวหน้า,ป้องกันแสงแดด,1239,0,Not Used
ครีมกันแดดศรีจันทร์แอคเน่แคร์SPF50+PA+++(พ6) 7 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,ป้องกันแสงแดด,1240,0,Not Used
แอมพูลเซรั่มโรจูคิสไวท์พอร์เลสสกินรีเซ็ต (ด) 8 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อผิวขาว,1241,1,Whitening
แอมพูลเซรั่มโรจูคิสไวท์พอร์เลสสกินรีเซ็ต (พ6) 8 มล,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อผิวขาว,1242,1,Whitening
เซรั่มศรีจันทร์ไทม์เลสแอนตี้เอจจิ้ง (ด) 7 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,ลดริ้วรอย,1243,2,Anti-Aging
เซรั่มศรีจันทร์ไทม์เลสแอนตี้เอจจิ้ง (พ6) 7 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,ลดริ้วรอย,1244,2,Anti-Aging
pซีรั่มโอเลย์รีเจนเนอรีสไมโครสคัลป์ติ้ง (ด) 6 ก.,ผลิตภัณฑ์บำรุงผิวหน้า,ลดริ้วรอย,1245,2,Anti-Aging
pซีรั่มโอเลย์รีเจนเนอรีสไมโครสคัลป์ติ้ง (พ6) 6 ก.,ผลิตภัณฑ์บำรุงผิวหน้า,ลดริ้วรอย,1246,2,Anti-Aging
pครีมโอเลย์รีเจนเนอรีสไมโครสคัลป์ติ้ง ไนท์ (ด) 7 ก,ผลิตภัณฑ์บำรุงผิวหน้า,ลดริ้วรอย,1247,2,Anti-Aging
